parmy@fedora:~$ readelf -Ws libc-2.23.so

Symbol table '.dynsym' contains 2415 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
    62: 0002fab0    64 FUNC    WEAK   DEFAULT   13 srand48_r@@GLIBC_2.0
    63: 0002cd80   103 FUNC    GLOBAL DEFAULT   13 sighold@@GLIBC_2.1
    64: 000ca850    36 FUNC    GLOBAL DEFAULT   13 __sched_getparam@@GLIBC_2.0
    65: 00072750    27 FUNC    GLOBAL DEFAULT   13 __default_morecore@@GLIBC_2.0
    66: 000fac50    31 FUNC    GLOBAL DEFAULT   13 iruserok@@GLIBC_2.0
    67: 0003ec70   148 FUNC    GLOBAL DEFAULT   13 cuserid@@GLIBC_2.0
    68: 0002b060    36 FUNC    WEAK   DEFAULT   13 isnan@@GLIBC_2.0
    69: 0002f290   212 FUNC    WEAK   DEFAULT   13 setstate_r@@GLIBC_2.0
    70: 00090450    96 FUNC    WEAK   DEFAULT   13 wmemset@@GLIBC_2.0
    71: 00000000     0 OBJECT  GLOBAL DEFAULT  ABS GCC_3.0
    72: 00068450    25 FUNC    GLOBAL DEFAULT   13 _IO_file_stat@@GLIBC_2.0
    73: 0011c1b0    34 FUNC    GLOBAL DEFAULT   13 __register_frame_info_bases@@GCC_3.0
    74: 00078d40   788 FUNC    WEAK   DEFAULT   13 argz_replace@@GLIBC_2.0
    75: 000b5410    92 FUNC    GLOBAL DEFAULT   13 globfree64@@GLIBC_2.1
    76: 000f1370    42 FUNC    WEAK   DEFAULT   13 argp_usage@@GLIBC_2.1
    77: 000e6240    36 FUNC    GLOBAL DEFAULT   13 timerfd_gettime@@GLIBC_2.8
    78: 00160344     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@@GLIBC_2.12
    79: 00160354     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@GLIBC_2.4
    80: 0016034c     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@GLIBC_2.1
    81: 00160348     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@GLIBC_2.0
    82: 00160350     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@GLIBC_2.3
    83: 000e5bb0    36 FUNC    GLOBAL DEFAULT   13 clock_adjtime@@GLIBC_2.14
    84: 001b3754     4 OBJECT  GLOBAL DEFAULT   33 getdate_err@@GLIBC_2.1
    85: 00078990    85 FUNC    WEAK   DEFAULT   13 argz_next@@GLIBC_2.0
    86: 00121d40    65 FUNC    GLOBAL DEFAULT   13 getspnam_r@GLIBC_2.0
    87: 000af280   921 FUNC    GLOBAL DEFAULT   13 __fork@@GLIBC_2.0
    88: 000ea5e0   471 FUNC    GLOBAL DEFAULT   13 getspnam_r@@GLIBC_2.1.2
